#Mutationas at cloning 10
#SizeOfPopu PopuSizeAge8 badGeneProb1 badGeneProb6 badGeneProb12 badGeneProb20 deatheStat
900095 0 0 0 0 0 1
1716173 0 0.190265 0.190455 0.189877 0.189746 4.24571
1758877 52114 0.279585 0.282132 0.3014 0.303184 5.40738
1430243 53083 0.312539 0.31749 0.361306 0.378859 6.02668
1207695 49776 0.328251 0.334933 0.404284 0.43268 6.22868
1087494 47959 0.332714 0.341219 0.429501 0.462976 6.37998
1022751 46523 0.334734 0.342029 0.443263 0.479795 6.46285
989102 45598 0.335372 0.342183 0.451396 0.489395 6.51904
970352 45199 0.335927 0.342903 0.457037 0.495021 6.55579
962362 44747 0.335394 0.343403 0.459592 0.496527 6.55608
956697 44316 0.335529 0.342722 0.460947 0.498425 6.56072
955869 44321 0.336058 0.343707 0.460998 0.498966 6.5568
953929 44408 0.335943 0.343512 0.461852 0.49867 6.56656
952170 44412 0.33694 0.342847 0.461465 0.500331 6.5689
951372 43928 0.337196 0.344397 0.461962 0.499602 6.58167
953857 44337 0.337516 0.344274 0.462518 0.500964 6.56947
953267 43908 0.336867 0.343651 0.461124 0.500071 6.56264
950297 44631 0.337106 0.344261 0.461709 0.499498 6.5667
952877 44510 0.336968 0.34436 0.462172 0.499157 6.56303
953508 44417 0.337224 0.344019 0.462751 0.49837 6.56052
953431 44354 0.337267 0.344625 0.462568 0.498681 6.55616
953146 44194 0.336895 0.3439 0.462539 0.498476 6.56563
953410 44415 0.335823 0.34394 0.461701 0.498832 6.5669
954503 44573 0.336327 0.343964 0.461555 0.499832 6.56561
953670 44500 0.336406 0.344095 0.462643 0.499399 6.58172
951757 44294 0.336451 0.345222 0.462546 0.500414 6.57766
952626 44681 0.336569 0.34443 0.463374 0.500885 6.56762
952686 44547 0.335677 0.343531 0.463495 0.500925 6.5725
952831 44574 0.335722 0.344577 0.462508 0.501876 6.57018
952395 44382 0.336039 0.345005 0.462997 0.500433 6.57974
953882 44352 0.335491 0.344863 0.463654 0.49984 6.5661
952290 44171 0.335755 0.343725 0.461697 0.500083 6.56892
953447 44413 0.336106 0.343424 0.462243 0.499777 6.57219
955061 44592 0.336502 0.34445 0.461749 0.499455 6.57003
954293 44449 0.335953 0.343687 0.462298 0.50024 6.55983
953957 44496 0.336694 0.344171 0.463567 0.500311 6.5642
953693 44626 0.336246 0.344342 0.462369 0.500378 6.55858
954937 44768 0.335957 0.344096 0.462025 0.499562 6.55182
955920 44133 0.335302 0.343185 0.461926 0.499592 6.591
955563 44071 0.334846 0.343663 0.461547 0.499886 6.57196
956259 44429 0.335362 0.342941 0.461472 0.498846 6.57121
953469 44612 0.336901 0.343324 0.461786 0.498642 6.57933
954623 44476 0.335143 0.343204 0.462577 0.498713 6.57594
952581 44721 0.335215 0.343581 0.462775 0.498498 6.56578
950855 44198 0.336312 0.344294 0.462722 0.499021 6.59154
953570 44436 0.335623 0.343808 0.462662 0.500266 6.57961
953537 44288 0.335872 0.344727 0.46264 0.501245 6.57561
953014 44536 0.336151 0.344755 0.462599 0.502588 6.57346
953609 44145 0.335696 0.344291 0.462286 0.500757 6.56876
954719 44167 0.336154 0.343817 0.461105 0.499806 6.57512
