#Mutationas at cloning 1
#SizeOfPopu PopuSizeAge8 badGeneProb1 badGeneProb6 badGeneProb12 badGeneProb20 deatheStat
900410 0 0 0 0 0 1
1714339 0 0.0249595 0.0250149 0.0249665 0.0248988 4.26443
1925028 53377 0.0473042 0.0474336 0.0475339 0.0474383 5.07192
1898776 60694 0.069095 0.06948 0.0695996 0.0687622 5.24385
1886018 65121 0.0911974 0.091374 0.0914551 0.0910914 5.34188
1878413 66485 0.112119 0.111533 0.112458 0.112146 5.32751
1867527 66988 0.129658 0.129385 0.131349 0.133478 5.35721
1846744 66600 0.144188 0.142834 0.147364 0.156557 5.39009
1824894 67306 0.155627 0.154088 0.161384 0.17827 5.41143
1800340 67604 0.163706 0.163687 0.173879 0.200028 5.43664
1784209 67761 0.170335 0.170134 0.183885 0.22066 5.45911
1765453 67404 0.175921 0.17543 0.193657 0.2404 5.4703
1753277 67626 0.180411 0.180206 0.201522 0.258112 5.49728
1739985 67408 0.183798 0.184701 0.208515 0.275707 5.51314
1733417 67903 0.186683 0.186424 0.213585 0.290432 5.52342
1721494 67993 0.189606 0.189104 0.218227 0.304266 5.52802
1714563 67579 0.191873 0.191282 0.223684 0.317965 5.54313
1708346 67602 0.194245 0.192666 0.228064 0.330359 5.5363
1704351 67996 0.194293 0.194688 0.230744 0.342678 5.55584
1697844 68240 0.195531 0.195585 0.233315 0.354067 5.55758
1696241 67646 0.196373 0.196515 0.235319 0.364963 5.57418
1693972 67606 0.196315 0.196498 0.23767 0.373733 5.56722
1688264 68012 0.196774 0.197209 0.240217 0.383515 5.56811
1688399 68230 0.196303 0.197691 0.241534 0.392424 5.57688
1686268 67768 0.197002 0.19757 0.242611 0.398287 5.56539
1684475 68053 0.196916 0.198416 0.24436 0.405309 5.58183
1684069 67617 0.197085 0.198325 0.244378 0.411953 5.56946
1681979 67978 0.1967 0.198658 0.244771 0.417332 5.58906
1681268 67815 0.197261 0.198889 0.246176 0.423592 5.58111
1682104 67915 0.197106 0.198891 0.246627 0.428708 5.58023
1679219 67974 0.197445 0.199348 0.247342 0.43378 5.57916
1675740 67920 0.196989 0.199881 0.247885 0.43906 5.59231
1676117 68111 0.198012 0.199562 0.248202 0.443606 5.58651
1678285 68350 0.198466 0.199803 0.248383 0.446976 5.59341
1675290 67963 0.198238 0.200343 0.249168 0.450078 5.59466
1672781 68000 0.197988 0.201422 0.248826 0.453322 5.59011
1672895 68139 0.198336 0.20074 0.248913 0.457016 5.59351
1674210 67504 0.198172 0.201375 0.249555 0.460958 5.59251
1675481 68034 0.198131 0.202357 0.249779 0.463502 5.5939
1672226 67994 0.197297 0.201778 0.249101 0.465689 5.60075
1670755 67998 0.197706 0.202504 0.250351 0.467959 5.59147
1671079 67782 0.198685 0.202478 0.250395 0.47009 5.60746
1672191 67645 0.198494 0.202203 0.250584 0.472593 5.59567
1672423 68313 0.199021 0.201719 0.250859 0.473454 5.5886
1672159 68126 0.199759 0.201652 0.250618 0.475658 5.59081
1671611 67998 0.199558 0.201062 0.249818 0.477753 5.59774
1673683 67575 0.199308 0.201206 0.250697 0.478802 5.59208
1672832 68080 0.19853 0.201351 0.25071 0.481025 5.588
1671663 67691 0.19908 0.201742 0.250754 0.482159 5.59972
1670999 67590 0.19899 0.201546 0.250752 0.48396 5.58738
