#Mutationas at cloning 15
#SizeOfPopu PopuSizeAge8 badGeneProb1 badGeneProb6 badGeneProb12 badGeneProb20 deatheStat
899526 0 0 0 0 0 1
1713946 0 0.247852 0.248026 0.248661 0.248144 4.23945
1578925 48376 0.32756 0.331054 0.360949 0.363787 5.67742
1205641 45360 0.351972 0.359803 0.413202 0.426188 6.30176
974936 39607 0.36519 0.374028 0.448578 0.468853 6.51117
851000 37819 0.366779 0.377095 0.464622 0.486647 6.69377
789399 35919 0.367671 0.378425 0.472833 0.494584 6.76058
759644 34972 0.367756 0.378538 0.47509 0.497372 6.82078
745331 34438 0.36787 0.37902 0.476219 0.49922 6.83544
737443 34053 0.367175 0.3775 0.477452 0.499106 6.86089
733193 33961 0.3676 0.377277 0.477018 0.498994 6.82961
732799 34071 0.368098 0.379845 0.47661 0.499414 6.85512
730476 33860 0.36774 0.3796 0.476736 0.500163 6.86556
727953 33474 0.367454 0.378717 0.475858 0.499284 6.86056
730779 34030 0.368087 0.378552 0.475888 0.499694 6.86017
730459 33970 0.368325 0.37745 0.476762 0.499957 6.85912
728785 33638 0.367481 0.377878 0.476221 0.498815 6.88263
727806 33975 0.367474 0.378619 0.476539 0.500291 6.88151
728569 33895 0.367671 0.378088 0.477373 0.499155 6.85431
727519 33783 0.367298 0.377622 0.476865 0.499411 6.85871
730774 33662 0.36767 0.378506 0.476892 0.498781 6.86206
730811 33533 0.367356 0.378009 0.476821 0.498788 6.85406
729164 33618 0.367681 0.37917 0.477891 0.500204 6.86619
728721 33601 0.369358 0.378899 0.476812 0.499741 6.86069
729839 33638 0.368451 0.377872 0.477652 0.499531 6.87543
728104 33678 0.369557 0.37768 0.477102 0.499614 6.86677
728865 33558 0.368326 0.379244 0.476253 0.499449 6.86889
729162 33611 0.368346 0.379307 0.477172 0.499469 6.86296
729952 33490 0.368015 0.37897 0.477683 0.499249 6.87243
728480 33790 0.367384 0.378684 0.476579 0.500071 6.88617
729125 34113 0.368447 0.37853 0.477227 0.49972 6.85193
728370 33979 0.368909 0.378275 0.477694 0.499257 6.85283
730617 33615 0.368182 0.377889 0.478082 0.500714 6.85354
731221 33727 0.367297 0.377992 0.477955 0.50024 6.86794
733330 34089 0.367478 0.377687 0.476612 0.500098 6.84872
733116 33733 0.368281 0.379656 0.477822 0.501008 6.85599
731269 33908 0.368732 0.378738 0.477056 0.499839 6.87566
730670 33667 0.369334 0.378232 0.476367 0.501033 6.87032
730924 33303 0.36773 0.379007 0.47703 0.501256 6.86142
730304 33766 0.366646 0.378797 0.476292 0.50066 6.86146
729173 33880 0.367407 0.377487 0.477167 0.500253 6.86212
730148 33483 0.367864 0.378288 0.476502 0.50024 6.86247
730637 33529 0.368656 0.379489 0.477206 0.50061 6.86902
729367 33787 0.367846 0.37818 0.476299 0.500226 6.86544
731863 34044 0.367652 0.379055 0.475907 0.499491 6.841
731997 33609 0.366586 0.379359 0.476884 0.499379 6.88941
730400 33410 0.368583 0.377824 0.477401 0.499504 6.85719
730143 33518 0.367602 0.377986 0.477035 0.499679 6.86981
729456 33549 0.368174 0.378342 0.476447 0.500827 6.88226
727660 33496 0.368986 0.37765 0.476681 0.501229 6.86152
